LfdArtNr;artnr1;abez1;me;basis_me;anz_basis;anz_ve;ean_me;kn_ja;wgrupnr;sort1;sort2;warennr;gewicht_gr;gewicht;sb_ja;KopfLfdNr;ArtNr;ArtBez;VarTyp;VarBez;VarFarbe;kn_art
73272;6383-10;Everyday Cotton;kg;10;10.00;5.00;4036014323954;1;15;99;"              6383-10";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;10;jeansblau;Längsknäuel
73273;6383-11;Everyday Cotton;kg;10;10.00;5.00;4036014323985;1;15;99;"              6383-11";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;11;navy;Längsknäuel
73274;6383-12;Everyday Cotton;kg;10;10.00;5.00;4036014324012;1;15;99;"              6383-12";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;12;ozeanblau;Längsknäuel
73275;6383-13;Everyday Cotton;kg;10;10.00;5.00;4036014324043;1;15;99;"              6383-13";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;13;azurblau;Längsknäuel
73276;6383-14;Everyday Cotton;kg;10;10.00;5.00;4036014324074;1;15;99;"              6383-14";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;14;taubengrau;Längsknäuel
62220;4629-302;Hot Socks Simila;kg;10;10.00;10.00;4036014205182;1;7;99;"             4629-302";51099000;NULL;1;NULL;1662;4629-;Hot Socks Simila;Farbe;302;asphalt-natur-meliert-kamel-seegrün-mittelbraun;Längsknäuel
62221;4629-303;Hot Socks Simila;kg;10;10.00;10.00;4036014205212;1;7;99;"             4629-303";51099000;NULL;1;NULL;1662;4629-;Hot Socks Simila;Farbe;303;rotviolett-aubergine-rot-anthrazit-natur-graubraun;Längsknäuel
62222;4629-304;Hot Socks Simila;kg;10;10.00;10.00;4036014205243;1;7;99;"             4629-304";51099000;NULL;1;NULL;1662;4629-;Hot Socks Simila;Farbe;304;türkisblau-honiggelb-malwe-anthrazit-tintenblau-na;Längsknäuel
62223;4629-305;Hot Socks Simila;kg;10;10.00;10.00;4036014205274;1;7;99;"             4629-305";51099000;NULL;1;NULL;1662;4629-;Hot Socks Simila;Farbe;305;mint-creme-tintenblau-aquablau-jade-blaugrün;Längsknäuel
62224;4629-306;Hot Socks Simila;kg;10;10.00;10.00;4036014205304;1;7;99;"             4629-306";51099000;NULL;1;NULL;1662;4629-;Hot Socks Simila;Farbe;306;pink-orange-curry-violett-aquablau-tintenblau-natu;Längsknäuel
62323;1000-900;Hängekorb 90cm Breite für Wandregal FR;Stück;1;1.00;1.00;4036014206257;NULL;14;99;"             1000-900";94032080;7800;8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
62325;1000-901;Preisschiene für Hängekorb 90 cm FR;Stück;1;1.00;1.00;4036014206264;NULL;14;99;"             1000-901";39269097;130;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
